date,USD,EUR,GBP
2025-03-14,41.527,45.0007,53.711
2025-03-15,41.527,45.0007,53.711
2025-03-16,41.527,45.0007,53.711
2025-03-17,41.5098,45.2291,53.7261
2025-03-18,41.4395,45.1649,53.7512
2025-03-19,41.5658,45.3483,53.8984
2025-03-20,41.573,45.3229,53.9202
2025-03-21,41.541,45.0014,53.8081
2025-03-22,41.541,45.0014,53.8081
2025-03-23,41.541,45.0014,53.8081
2025-03-24,41.5277,44.9807,53.7202
2025-03-25,41.6446,45.0886,53.8964
2025-03-26,41.6949,45.1389,54.0199
2025-03-27,41.5644,44.823,53.589
2025-03-28,41.4863,44.7471,53.6999
2025-03-29,41.4863,44.7471,53.6999
2025-03-30,41.4863,44.7471,53.6999
2025-03-31,41.4787,44.7472,53.6963
2025-04-01,41.4228,44.8278,53.6632
2025-04-02,41.373,44.6084,53.3463
2025-04-03,41.3162,44.6339,53.4921
2025-04-04,41.3426,45.8531,54.473
2025-04-05,41.3426,45.8531,54.473
2025-04-06,41.3426,45.8531,54.473
2025-04-07,41.1941,45.5524,53.6244
2025-04-08,41.0807,45.0532,52.686
2025-04-09,41.174,45.0258,52.6142
2025-04-10,41.2751,45.5471,52.7516
2025-04-11,41.4031,45.8415,53.5321
2025-04-12,41.4031,45.8415,53.5321
2025-04-13,41.4031,45.8415,53.5321
2025-04-14,41.3879,46.9153,54.1706
2025-04-15,41.3153,47.0271,54.4598
2025-04-16,41.1753,46.6104,54.4543
2025-04-17,41.2152,46.8205,54.6946
2025-04-18,41.3825,47.0043,54.7449
2025-04-19,41.3825,47.0043,54.7449
2025-04-20,41.3825,47.0043,54.7449
2025-04-21,41.3955,47.0253,54.878
2025-04-22,41.3785,47.7653,55.4327
2025-04-23,41.5185,47.7131,55.5434
2025-04-24,41.6707,47.5421,55.4199
2025-04-25,41.689,47.4171,55.486
2025-04-26,41.689,47.4171,55.486
2025-04-27,41.689,47.4171,55.486
2025-04-28,41.7513,47.3856,55.571
2025-04-29,41.7441,47.3921,55.6845
2025-04-30,41.5647,47.284,55.6364
2025-05-01,41.4706,47.1687,55.4006
2025-05-02,41.5945,47.0808,55.4247
2025-05-03,41.5945,47.0808,55.4247
2025-05-04,41.5945,47.0808,55.4247
2025-05-05,41.7091,47.3127,55.4335
2025-05-06,41.6036,47.1868,55.3994
2025-05-07,41.4544,46.9637,55.4245
2025-05-08,41.4388,47.0745,55.3125
2025-05-09,41.5113,46.887,55.3283
2025-05-10,41.5113,46.887,55.3283
2025-05-11,41.5113,46.887,55.3283
2025-05-12,41.547,46.7528,55.1536
2025-05-13,41.5387,46.1578,54.7418
2025-05-14,41.5004,46.0924,54.8345
2025-05-15,41.5376,46.5886,55.38
2025-05-16,41.4709,46.3831,55.036
2025-05-17,41.4709,46.3831,55.036
2025-05-18,41.4709,46.3831,55.036
2025-05-19,41.4983,46.449,55.1263
2025-05-20,41.576,46.8562,55.637
2025-05-21,41.4851,46.6521,55.4282
2025-05-22,41.436,46.9138,55.5595
2025-05-23,41.4999,46.9281,55.6929
2025-05-24,41.4999,46.9281,55.6929
2025-05-25,41.4999,46.9281,55.6929
2025-05-26,41.5094,46.9949,55.9858
2025-05-27,41.5707,47.295,56.3595
2025-05-28,41.6758,47.3104,56.4665
2025-05-29,41.5903,47.0761,56.0596
2025-05-30,41.5285,46.8026,55.8953
2025-05-31,41.5285,46.8026,55.8953
2025-06-01,41.5285,46.8026,55.8953
2025-06-02,41.5261,47.074,55.9564
2025-06-03,41.6184,47.5032,56.3243
2025-06-04,41.6385,47.4263,56.212
2025-06-05,41.4829,47.2013,56.06
2025-06-06,41.4717,47.3773,56.2729
2025-06-07,41.4717,47.3773,56.2729
2025-06-08,41.4717,47.3773,56.2729
2025-06-09,41.4018,47.2726,56.1036
2025-06-10,41.4919,47.3713,56.2713
2025-06-11,41.5566,47.5033,56.1263
2025-06-12,41.5117,47.4562,56.0117
2025-06-13,41.488,48.0825,56.3822
2025-06-14,41.488,48.0825,56.3822
2025-06-15,41.488,48.0825,56.3822
2025-06-16,41.4466,47.6926,56.1104
2025-06-17,41.5306,48.0675,56.3986
2025-06-18,41.5255,48.0159,56.3231
2025-06-19,41.6293,47.9028,55.9956
2025-06-20,41.6854,47.859,56.0335
2025-06-21,41.6854,47.859,56.0335
2025-06-22,41.6854,47.859,56.0335
2025-06-23,41.8335,48.2006,56.4669
2025-06-24,41.8702,48.0209,56.06
2025-06-25,41.7924,48.5084,56.8941
2025-06-26,41.662,48.3238,56.6895
2025-06-27,41.5852,48.638,57.0008
2025-06-28,41.5852,48.638,57.0008
2025-06-29,41.5852,48.638,57.0008
2025-06-30,41.6409,48.7823,57.2021
2025-07-01,41.7788,48.9856,57.2704
2025-07-02,41.8191,49.4093,57.5389
2025-07-03,41.8116,49.1328,57.146
2025-07-04,41.7239,49.1758,56.9907
2025-07-05,41.7239,49.1758,56.9907
2025-07-06,41.7239,49.1758,56.9907
2025-07-07,41.7341,49.121,56.9504
2025-07-08,41.7975,49.0285,56.9198
2025-07-09,41.8462,49.0563,56.8083
2025-07-10,41.7745,48.8427,56.7131
2025-07-11,41.8232,48.975,56.7792
2025-07-12,41.8232,48.975,56.7792
2025-07-13,41.8232,48.975,56.7792
2025-07-14,41.7842,48.8416,56.4233
2025-07-15,41.8355,48.8973,56.4068
2025-07-16,41.8211,48.8031,56.2243
2025-07-17,41.8129,48.5197,56.0293
2025-07-18,41.867,48.4527,56.0578
2025-07-19,41.867,48.4527,56.0578
2025-07-20,41.867,48.4527,56.0578
2025-07-21,41.7514,48.607,56.1765
2025-07-22,41.8194,48.7907,56.3621
2025-07-23,41.7653,48.8654,56.3205
2025-07-24,41.7651,48.9821,56.552
2025-07-25,41.7738,49.1009,56.5993
2025-07-26,41.7738,49.1009,56.5993
2025-07-27,41.7738,49.1009,56.5993
2025-07-28,41.7824,48.9815,56.1994
2025-07-29,41.7997,48.6967,56.1224
2025-07-30,41.7886,48.224,55.7293
2025-07-31,41.7662,48.1481,55.8268
2025-08-01,41.7132,47.7491,55.222
2025-08-02,41.7132,47.7491,55.222
2025-08-03,41.7132,47.7491,55.222
2025-08-04,41.7644,47.6448,54.962
2025-08-05,41.7901,48.347,55.5662
2025-08-06,41.6845,48.0914,55.3487
2025-08-07,41.611,48.2854,55.4217
2025-08-08,41.4564,48.276,55.6055
2025-08-09,41.4564,48.276,55.6055
2025-08-10,41.4564,48.276,55.6055
2025-08-11,41.3895,48.1939,55.6275
2025-08-12,41.449,48.1969,55.6743
2025-08-13,41.4268,48.0758,55.748
2025-08-14,41.5149,48.6472,56.3606
2025-08-15,41.45,48.4405,56.2663
2025-08-16,41.45,48.4405,56.2663
2025-08-17,41.45,48.4405,56.2663
2025-08-18,41.3401,48.3059,56.053
2025-08-19,41.2589,48.1739,55.8563
2025-08-20,41.3557,48.3241,55.917
2025-08-21,41.3782,48.1684,55.7571
2025-08-22,41.2185,47.9825,55.4657
2025-08-23,41.2185,47.9825,55.4657
2025-08-24,41.2185,47.9825,55.4657
2025-08-25,41.2839,47.91,55.3824
2025-08-26,41.43,48.4731,56.0051
2025-08-27,41.4047,48.2655,55.8549
2025-08-28,41.3222,47.88,55.4957
2025-08-29,41.2602,48.1341,55.7673
2025-08-30,41.2602,48.1341,55.7673
2025-08-31,41.2602,48.1341,55.7673
2025-09-01,41.3203,48.196,55.5861
2025-09-02,41.3722,48.4675,55.9518
2025-09-03,41.3631,48.1756,55.3397
2025-09-04,41.3719,48.2024,55.4818
2025-09-05,41.3494,48.1348,55.5302
2025-09-06,41.3494,48.1348,55.5302
2025-09-07,41.3494,48.1348,55.5302
2025-09-08,41.2199,48.1634,55.5026
2025-09-09,41.2497,48.3818,55.8212
2025-09-10,41.1237,48.2916,55.7637
2025-09-11,41.2138,48.2408,55.7808
2025-09-12,41.3127,48.2739,55.8176
2025-09-13,41.3127,48.2739,55.8176
2025-09-14,41.3127,48.2739,55.8176
2025-09-15,41.2838,48.3929,55.9354
2025-09-16,41.2317,48.4967,56.1328
2025-09-17,41.1752,48.6567,56.1897
2025-09-18,41.1941,48.7738,56.2217
2025-09-19,41.2488,48.785,56.1891
2025-09-20,41.2488,48.785,56.1891
2025-09-21,41.2488,48.785,56.1891
2025-09-22,41.2502,48.4215,55.5908
2025-09-23,41.3811,48.7304,55.8459
2025-09-24,41.378,48.8012,55.9265
2025-09-25,41.4105,48.6573,55.7344
2025-09-26,41.4939,48.7118,55.689
2025-09-27,41.4939,48.7118,55.689
2025-09-28,41.4939,48.7118,55.689
2025-09-29,41.4789,48.4059,55.3826
2025-09-30,41.3176,48.4408,55.5329
2025-10-01,41.142,48.3028,55.2743
2025-10-02,41.2215,48.3734,55.5748
2025-10-03,41.2764,48.5039,55.6199
2025-10-04,41.2764,48.5039,55.6199
2025-10-05,41.2764,48.5039,55.6199
2025-10-06,41.2286,48.3818,55.4442
2025-10-07,41.3409,48.2696,55.5064
2025-10-08,41.3158,48.1742,55.3632
2025-10-09,41.4024,48.1386,55.5041
2025-10-10,41.5062,48.2053,55.5145
2025-10-11,41.5062,48.2053,55.5145
2025-10-12,41.5062,48.2053,55.5145
2025-10-13,41.6027,48.1094,55.2151
2025-10-14,41.6102,48.1347,55.4664
2025-10-15,41.7514,48.2354,55.3958
2025-10-16,41.7607,48.5301,55.7589
2025-10-17,41.6358,48.5224,55.9606
2025-10-18,41.6358,48.5224,55.9606
2025-10-19,41.6358,48.5224,55.9606
2025-10-20,41.7308,48.7624,56.0653
2025-10-21,41.7565,48.663,55.9913
2025-10-22,41.7441,48.4732,55.8515
2025-10-23,41.755,48.369,55.6552
2025-10-24,41.897,48.5502,55.8822
2025-10-25,41.897,48.5502,55.8822
2025-10-26,41.897,48.5502,55.8822
2025-10-27,41.9969,48.7668,55.8748
2025-10-28,42.0704,48.9742,56.1472
2025-10-29,42.0831,48.9784,55.899
2025-10-30,42.0115,48.8657,55.4636
2025-10-31,41.9701,48.5132,55.1487
2025-11-01,41.9701,48.5132,55.1487
2025-11-02,41.9701,48.5132,55.1487
2025-11-03,41.8924,48.4088,54.9167
2025-11-04,42.0409,48.4269,55.2502
2025-11-05,42.0725,48.3329,54.9719
2025-11-06,42.0671,48.3351,54.8639
2025-11-07,42.0836,48.5224,55.1253
2025-11-08,42.0836,48.5224,55.1253
2025-11-09,42.0836,48.5224,55.1253
2025-11-10,41.9782,48.5058,55.046
2025-11-11,41.9559,48.543,55.3147
2025-11-12,42.0139,48.6101,55.2147
2025-11-13,42.0377,48.6544,55.1324
2025-11-14,42.0641,48.8827,55.4321
2025-11-15,42.0641,48.8827,55.4321
2025-11-16,42.0641,48.8827,55.4321
2025-11-17,42.0423,48.9835,55.4033
2025-11-18,42.067,48.7872,55.4401
2025-11-19,42.0924,48.7914,55.3578
2025-11-20,42.0948,48.7374,55.2157
2025-11-21,42.1549,48.5161,55.0417
2025-11-22,42.1549,48.5161,55.0417
2025-11-23,42.1549,48.5161,55.0417
2025-11-24,42.2672,48.7045,55.3024
2025-11-25,42.3713,48.9177,55.5488
2025-11-26,42.4015,48.9483,55.6901
2025-11-27,42.2987,48.9481,55.7666
2025-11-28,42.1928,48.8719,55.8337
2025-11-29,42.1928,48.8719,55.8337
2025-11-30,42.1928,48.8719,55.8337
2025-12-01,42.266,48.8933,55.8651
2025-12-02,42.3413,49.3149,56.1742
2025-12-03,42.3342,49.1839,55.915
2025-12-04,42.2034,49.226,56.1347
2025-12-05,42.1838,49.2264,56.3069
2025-12-06,42.1838,49.2264,56.3069
2025-12-07,42.1838,49.2264,56.3069
2025-12-08,42.0567,48.9961,56.1289
2025-12-09,42.07,49.0242,56.0372
2025-12-10,42.1838,49.0935,56.1888
2025-12-11,42.2812,49.2153,56.2932
2025-12-12,42.2721,49.5154,56.5939
2025-12-13,42.2721,49.5154,56.5939
2025-12-14,42.2721,49.5154,56.5939
2025-12-15,42.1936,49.4678,56.4213
2025-12-16,42.2451,49.6549,56.5662
2025-12-17,42.1848,49.6684,56.6753
2025-12-18,42.3384,49.6291,56.4964
2025-12-19,42.3374,49.594,56.7109
2025-12-20,42.3374,49.594,56.7109
2025-12-21,42.3374,49.594,56.7109
2025-12-22,42.2481,49.4725,56.4984
2025-12-23,42.1482,49.4904,56.6177
2025-12-24,42.1003,49.6363,56.8501
2025-12-25,42.1541,49.6828,56.9228
2025-12-26,41.9331,49.4265,56.5426
2025-12-27,41.9331,49.4265,56.5426
2025-12-28,41.9331,49.4265,56.5426
2025-12-29,42.0637,49.5552,56.7692
2025-12-30,42.2179,49.6525,56.9308
2025-12-31,42.3878,49.8565,57.2108
2026-01-01,42.3532,49.7947,57.0371
2026-01-02,42.1701,49.5499,56.8369
2026-01-03,42.1701,49.5499,56.8369
2026-01-04,42.1701,49.5499,56.8369
2026-01-05,42.2942,49.5794,56.8624
2026-01-06,42.4208,49.5136,57.0772
2026-01-07,42.5634,49.7992,57.5074
2026-01-08,42.7155,49.9216,57.6318
2026-01-09,42.9904,50.1762,57.7726
2026-01-10,42.9904,50.1762,57.7726
2026-01-11,42.9904,50.1762,57.7726
2026-01-12,43.0757,50.1444,57.7925
2026-01-13,43.2552,50.5264,58.2475
2026-01-14,43.1762,50.3219,58.1195
2026-01-15,43.1236,50.2649,57.9969
2026-01-16,43.3927,50.4375,58.1636
2026-01-17,43.3927,50.4375,58.1636
2026-01-18,43.3927,50.4375,58.1636
2026-01-19,43.413,50.4372,58.1691
2026-01-20,43.2678,50.3031,58.0091
2026-01-21,43.2522,50.7219,58.1483
2026-01-22,43.1759,50.6669,57.9593
2026-01-23,43.1667,50.5201,57.9405
2026-01-24,43.1667,50.5201,57.9405
2026-01-25,43.1667,50.5201,57.9405
2026-01-26,43.1391,50.6539,58.3586
2026-01-27,43.1253,51.0647,58.8703
2026-01-28,42.9563,51.2297,59.0091
2026-01-29,42.7689,51.2286,58.9826
2026-01-30,42.8483,51.2423,59.1692
2026-01-31,42.8483,51.2423,59.1692
2026-02-01,42.8483,51.2423,59.1692
2026-02-02,42.8113,51.0225,58.9083
2026-02-03,42.9697,50.9062,58.8169
2026-02-04,43.1928,50.9502,59.0921
2026-02-05,43.1695,51.035,59.2329
2026-02-06,43.1405,50.8972,58.5719
2026-02-07,43.1405,50.8972,58.5719
2026-02-08,43.1405,50.8972,58.5719
2026-02-09,43.0487,50.763,58.5032
2026-02-10,43.0267,51.12,58.7702
2026-02-11,43.0904,51.2517,58.9757
2026-02-12,43.0318,51.2078,58.8675
2026-02-13,42.993,51.0348,58.5866
2026-02-14,42.993,51.0348,58.5866
2026-02-15,42.993,51.0348,58.5866
2026-02-16,43.102,51.1276,58.6532
2026-02-17,43.1705,51.1614,58.891
2026-02-18,43.2577,51.1695,58.6142
2026-02-19,43.292,51.2577,58.7559
2026-02-20,43.2667,50.9163,58.2456
2026-02-21,43.2667,50.9163,58.2456
2026-02-22,43.2667,50.9163,58.2456
2026-02-23,43.2747,50.917,58.3213
2026-02-24,43.2982,51.0053,58.3833
2026-02-25,43.2648,50.9659,58.3534
2026-02-26,43.2413,50.962,58.4687
2026-02-27,43.2081,51.0244,58.5383
2026-02-28,43.2081,51.0244,58.5383
2026-03-01,43.2081,51.0244,58.5383
2026-03-02,43.0996,50.8661,58.0465
2026-03-03,43.2343,50.6014,57.9167
2026-03-04,43.4548,50.4597,57.8905
2026-03-05,43.717,50.8341,58.3688
2026-03-06,43.8069,50.9036,58.5479
2026-03-07,43.8069,50.9036,58.5479
2026-03-08,43.8069,50.9036,58.5479
2026-03-09,43.7292,50.5422,58.2998
2026-03-10,43.8961,50.7132,58.6101
2026-03-11,43.8627,51.0386,58.9646
2026-03-12,43.9776,50.9349,58.9278
2026-03-13,44.1636,50.956,59.0799
2026-03-14,44.1636,50.956,59.0799
